ID Factura;Tipo de Factura;Ciudad;Tipo de cliente;Genero;Producto;Precio Unitario;Cantidad;Fecha;hora;Medio de Pago;Empleado;Identificador de pago
549-59-1358;A;Yangon;Member;Male;Setas al plato con perejil;2.88;3;3/2/2019;17:36;Ewallet;257020;'0000003100032478909610
227-03-5010;A;Yangon;Member;Female;Queso en porciones El Caserio;2.5;8;3/22/2019;19:20;Credit card;257021;5648-8764-4633-7262
649-29-6775;B;Mandalay;Normal;Male;DentÃ­frico max white one Colgate;2.7;1;2/8/2019;15:31;Cash;257022;--
189-17-4241;A;Yangon;Normal;Female;Cuello de cordero;4.14;2;3/10/2019;12:17;Credit card;257023;5397-2256-8043-6681
145-94-9061;B;Mandalay;Normal;Female;Aceitunas negras Hacendado con hueso;0.75;5;1/25/2019;19:48;Cash;257024;--
848-62-7243;A;Yangon;Normal;Male;Preparado paella de marisco Hacendado ultracongelado;3.9;9;3/15/2019;15:36;Cash;257025;--
871-79-8483;B;Mandalay;Normal;Male;ColoraciÃ³n sin amonÃ­aco L'OrÃ©al 323 negro chocolate;6.6;5;2/25/2019;19:39;Credit card;257020;5896-4581-1009-3580
149-71-6266;B;Mandalay;Member;Male;Lote mujer Bustamante Muy mÃ­a;5.9;9;1/28/2019;12:43;Cash;257021;--
640-49-2076;B;Mandalay;Normal;Male;NÃ©ctar guayaba Hacendado sin azÃºcares aÃ±adidos;0.9;8;1/10/2019;14:49;Cash;257022;--
595-11-5460;A;Yangon;Normal;Male;Preservativos sensitive On;3.6;2;3/15/2019;10:12;Credit card;257023;4947-6298-3435-2883
183-56-6882;C;Naypyitaw;Member;Female;BiberÃ³n 150 ml tetina lÃ¡tex flujo lento +0 meses Deliplus;3.9;4;2/6/2019;10:42;Ewallet;257024;'0000003100010380956545
232-16-2483;C;Naypyitaw;Member;Female;Rabas empanadas Hacendado ultracongeladas;3.3;1;1/7/2019;12:28;Ewallet;257025;'0000003100032202568358
129-29-8530;A;Yangon;Member;Male;Helado mini cucurucho nata Hacendado sin azÃºcares aÃ±adidos;2.85;5;3/10/2019;19:15;Ewallet;257020;'0000003100098299093184
272-65-1806;A;Yangon;Normal;Female;PatÃ© gato adulto Delikuit con ternera e hÃ­gado;0.35;9;1/15/2019;17:17;Ewallet;257021;'0000003100050742225162
333-73-7901;C;Naypyitaw;Normal;Female;Refresco lima limÃ³n Hacendado fresh gas;0.27;8;3/23/2019;13:24;Ewallet;257022;'0000003100029808275415
777-82-7220;B;Mandalay;Member;Male;Cerveza ClÃ¡sica Steinburg;0.3;8;3/3/2019;13:01;Cash;257023;--
280-35-5823;B;Mandalay;Member;Female;Palmera de cacao Hacendado sin azÃºcar aÃ±adido;0.34;1;1/17/2019;18:45;Ewallet;257024;'0000003100027938489781
554-53-8700;C;Naypyitaw;Member;Male;Mortadela veggie con aceitunas Noel lonchas;1.19;2;2/2/2019;10:11;Cash;257025;--
354-25-5821;B;Mandalay;Member;Female;Lote hombre Don Algodon;10.5;6;2/8/2019;13:03;Cash;257020;--
228-96-1411;C;Naypyitaw;Member;Female;Eau de toilette hombre Criterio Ego;9;8;3/4/2019;20:39;Cash;257021;--
617-15-4209;C;Naypyitaw;Member;Male;LasaÃ±a a la boloÃ±esa Hacendado ultracongelada;4;2;3/16/2019;19:47;Cash;257022;--
132-32-9879;B;Mandalay;Member;Female;Ron aÃ±ejo Negrita;8.19;4;3/9/2019;18:00;Cash;257023;--
370-41-7321;B;Mandalay;Member;Male;Penne Armando;0.95;9;2/27/2019;17:24;Credit card;257024;4374-3113-7839-4025
727-46-3608;B;Mandalay;Member;Female;Refresco de manzana Gold Spring sin gas;0.73;9;2/6/2019;15:47;Ewallet;257025;'0000003100013866544250
669-54-1719;B;Mandalay;Member;Male;ChampÃº Dermo Sensitive Deliplus cuero cabelludo sensible;1.95;6;2/10/2019;12:45;Credit card;257020;5838-2861-7081-1295
574-22-5561;C;Naypyitaw;Member;Female;Detergente ropa Elena en polvo;4.95;10;3/19/2019;17:08;Ewallet;257021;'0000003100039130291562
326-78-5178;C;Naypyitaw;Member;Male;Desodorante roll-on active control Sanex men;1.8;7;2/3/2019;10:19;Cash;257022;--
162-48-8011;A;Yangon;Member;Female;Harina de arroz Hacendado;0.95;5;2/10/2019;15:10;Cash;257023;--
616-24-2851;B;Mandalay;Member;Female;TÃ© Earl Grey Hacendado;0.95;4;3/22/2019;14:42;Ewallet;257024;'0000003100043021923699
778-71-5554;C;Naypyitaw;Member;Male;Salsa miel y mostaza Hacendado;1.2;1;1/25/2019;15:46;Credit card;257025;4515-1774-1379-1357
242-55-6721;B;Mandalay;Normal;Male;PaÃ±o seca vajillas Bosque Verde;2.2;2;3/7/2019;11:49;Ewallet;257020;'0000003100039943017781
399-46-5918;C;Naypyitaw;Normal;Female;Alimento completo conejos enanos Granzoo;1.26;8;2/28/2019;19:01;Cash;257021;--
106-35-6779;A;Yangon;Member;Male;Refresco tÃ© con limÃ³n Hacendado para diluir;1.15;2;3/27/2019;11:26;Cash;257022;--
635-40-6220;A;Yangon;Normal;Male;Nachos Hacendado;0.85;8;2/7/2019;11:28;Ewallet;257023;'0000003100057497155970
817-48-8732;A;Yangon;Member;Female;Delicias de fiambre pollo y queso;2.5;10;1/20/2019;15:55;Cash;257024;--
120-06-4233;C;Naypyitaw;Normal;Male;Alubia roja Hacendado;1.3;6;3/12/2019;20:36;Cash;257025;--
285-68-5083;C;Naypyitaw;Member;Female;Pila super alcalina 9V-6LR61 Premio;1.5;3;2/15/2019;17:47;Credit card;257020;4940-9543-8150-2847
803-83-5989;C;Naypyitaw;Normal;Male;CastaÃ±as tostadas y peladas Hacendado;1.35;6;2/24/2019;10:55;Ewallet;257021;'0000003100094903051115
347-34-2234;B;Mandalay;Member;Female;Tarta bombÃ³n crujiente Hacendado congelada;7;9;2/3/2019;13:40;Ewallet;257022;'0000003100065258947655
199-75-8169;A;Yangon;Member;Male;Maquillaje compacto Deliplus 01;6;10;3/6/2019;12:27;Credit card;257023;4171-2399-2661-8868
853-23-2453;B;Mandalay;Member;Male;Leche crecimiento en polvo 3 Nidina NestlÃ©;13;4;2/14/2019;14:35;Cash;257024;--
877-22-3308;A;Yangon;Member;Male;6 Panes pulguitas sin aditivos;0.78;10;3/13/2019;16:40;Cash;257025;--
838-78-4295;C;Naypyitaw;Normal;Female;Petit sabores Hacendado;1.25;2;2/10/2019;15:43;Ewallet;257020;'0000003100017799154059
109-28-2512;B;Mandalay;Member;Female;Pulpo en aceite de oliva Hacendado;3.75;6;1/7/2019;15:01;Ewallet;257021;'0000003100024898579237
232-11-3025;A;Yangon;Normal;Male;After shave bÃ¡lsamo piel sensible Deliplus 0% alcohol ni perfume;1.95;10;1/24/2019;10:04;Cash;257022;--
382-03-4532;A;Yangon;Member;Female;Brillo de labios Hot Metal Deliplus 02;3.5;1;2/2/2019;18:50;Cash;257023;--
393-65-2792;C;Naypyitaw;Normal;Male;Tortitas de arroz con chocolate blanco sabor yogur Hacendado;1.3;10;1/6/2019;12:46;Credit card;257024;4136-7384-9402-4958
796-12-2025;C;Naypyitaw;Normal;Male;Maquillaje fluido Deliplus fijo & cubriente 04;5.5;10;2/11/2019;16:19;Cash;257025;--
510-95-6347;B;Mandalay;Member;Female;Mascarilla cabello Elvive color vive;4.5;3;3/5/2019;18:17;Ewallet;257020;'0000003100064681508668
841-35-6630;C;Naypyitaw;Normal;Female;Chocolate con leche Bites Cadbury con relleno sabor vainilla y trozos de galleta;1.2;6;3/9/2019;18:21;Cash;257021;--
287-21-9091;A;Yangon;Normal;Male;Chupete silicona reversible +6 a 18 meses Deliplus luminiscente;2;9;1/22/2019;10:55;Ewallet;257022;'0000003100012152647245
732-94-0499;C;Naypyitaw;Normal;Female;Queso Gouda semicurado Holland Corona;2.8;10;1/13/2019;17:04;Credit card;257023;4917-1816-4348-7388
263-10-3913;C;Naypyitaw;Member;Male;SalmÃ³n a rodajas;25.33;9;1/9/2019;14:20;Credit card;257024;4577-8574-8081-8768
381-20-0914;A;Yangon;Member;Female;Cacao soluble 0% azÃºcares aÃ±adidos Cola Cao;3.49;9;1/12/2019;15:48;Credit card;257025;5737-1172-8686-9508
829-49-1914;C;Naypyitaw;Member;Female;Comida perro jÃºnior Supreme Compy con pollo y arroz;7.45;10;3/5/2019;16:24;Ewallet;257020;'0000003100071617706893
756-01-7507;C;Naypyitaw;Normal;Female;After shave bÃ¡lsamo sensitive Nivea Men 0% alcohol anti-irritaciÃ³n;4.75;5;1/22/2019;18:56;Cash;257021;--
870-72-4431;C;Naypyitaw;Normal;Female;Ambientador armarios Bosque Verde spa;1.75;6;1/21/2019;14:42;Credit card;257022;4362-9286-5699-1288
847-38-7188;B;Mandalay;Normal;Female;Sombra de ojos mate Deliplus 02;3;3;1/26/2019;19:56;Ewallet;257023;'0000003100035045665765
480-63-2856;C;Naypyitaw;Normal;Male;Filetes de abadejo de Alaska sin piel Hacendado ultracongelados;4.95;8;1/23/2019;18:37;Ewallet;257024;'0000003100091104775706
787-56-0757;C;Naypyitaw;Member;Female;Salsa brava picante Hacendado;0.85;4;2/23/2019;18:45;Credit card;257025;5131-1674-3303-1342
360-39-5055;C;Naypyitaw;Member;Male;Fritura de pescado Hacendado ultracongelada;4.49;5;3/9/2019;10:17;Cash;257020;--
730-50-9884;C;Naypyitaw;Normal;Female;Nuggets de merluza Pescanova ultracongelados;1.99;7;3/5/2019;14:31;Ewallet;257021;'0000003100061484043452
362-58-8315;C;Naypyitaw;Normal;Male;JudÃ­a verde plana Hacendado ultracongelada;1.05;5;3/25/2019;10:23;Cash;257022;--
633-44-8566;A;Yangon;Member;Male;Galletas Choco leche con chocolatina Hacendado;1;7;3/27/2019;20:35;Credit card;257023;5824-3989-9319-7279
504-35-8843;A;Yangon;Normal;Male;Aceite de oliva 1Âº Hacendado;10.6;1;1/2/2019;16:57;Cash;257024;--
318-68-5053;B;Mandalay;Normal;Female;Aceite de oliva virgen extra Hacendado;2.35;6;2/27/2019;17:55;Cash;257025;--
565-80-5980;C;Naypyitaw;Member;Female;Tomate frito estilo casero Hacendado;0.93;4;1/23/2019;10:25;Cash;257020;--
225-32-0908;C;Naypyitaw;Normal;Female;Ambientador lÃ­quido concentrado Foresan WC;1.57;10;1/26/2019;19:54;Ewallet;257021;'0000003100016484129352
873-51-0671;A;Yangon;Member;Female;Detergente ropa frescor de colonia Bosque Verde lÃ­quido;3.79;7;1/10/2019;16:42;Ewallet;257022;'0000003100021925397652
152-08-9985;B;Mandalay;Member;Male;Burger de pavo y pollo;3.52;9;3/12/2019;12:09;Credit card;257023;4601-1299-1083-8457
512-91-0811;C;Naypyitaw;Normal;Male;Mascarillas higiÃ©nicas infantiles Deliplus 6 a 9 aÃ±os;5.4;1;2/6/2019;20:05;Credit card;257024;4431-1363-1644-8886
594-34-4444;A;Yangon;Normal;Male;HÃ©lices con vegetales Hacendado;1.09;1;3/8/2019;20:38;Ewallet;257025;'0000003100015579004610
766-85-7061;B;Mandalay;Normal;Male;Eau de toilette hombre Criterio Ego;9;10;3/29/2019;10:25;Ewallet;257020;'0000003100082773155373
871-39-9221;C;Naypyitaw;Normal;Female;Surtido de golosinas Xuxes top ten Hacendado;0.95;6;2/9/2019;13:11;Cash;257021;--
865-92-6136;A;Yangon;Normal;Male;Mascarilla cabello liso keratina TRESemmÃ© nutritiva;4.8;3;3/23/2019;10:16;Ewallet;257022;'0000003100010225565104
733-01-9107;B;Mandalay;Normal;Male;Leche semidesnatada Pascual;0.89;6;3/5/2019;18:14;Cash;257023;--
163-56-7055;C;Naypyitaw;Member;Male;Muesli con quinoa, chÃ­a y chocolate negro Hacendado;1.8;1;3/26/2019;19:20;Cash;257024;--
189-98-2939;C;Naypyitaw;Normal;Male;Sal 60% menos de sodio Hacendado;1.2;9;3/1/2019;13:22;Cash;257025;--
551-21-3069;C;Naypyitaw;Normal;Female;Queso curado en cavas aÃ±ejo Sa Madona;3.8;9;2/1/2019;11:27;Cash;257020;--
212-62-1842;A;Yangon;Normal;Male;Queso en porciones El Caserio;2.5;6;3/28/2019;16:44;Cash;257021;--
716-39-1409;B;Mandalay;Normal;Male;Tarta tres chocolates Hacendado congelada;8;7;3/19/2019;18:19;Cash;257022;--
704-48-3927;A;Yangon;Member;Male;Margarina ligera Hacendado;0.8;10;1/12/2019;14:50;Ewallet;257023;'0000003100030297898856
628-34-3388;C;Naypyitaw;Normal;Male;Levadura en polvo Hacendado;1.2;6;1/5/2019;20:54;Credit card;257024;4328-5680-2816-4170
630-74-5166;A;Yangon;Normal;Male;Lote infantil Disney Bingo y Rolly;8;6;3/22/2019;20:19;Cash;257025;--
588-01-7461;C;Naypyitaw;Normal;Female;Preservativos natural On;3.3;9;3/24/2019;10:43;Cash;257020;--
861-77-0145;C;Naypyitaw;Member;Male;Esponjas de baÃ±o con jabÃ³n Jabonitas;1.1;10;3/3/2019;14:30;Cash;257021;--
479-26-8945;B;Mandalay;Member;Female;Pila super alcalina 9V-6LR61 Premio;1.5;2;2/5/2019;11:32;Ewallet;257022;'0000003100027214967494
210-67-5886;C;Naypyitaw;Member;Female;Refresco de naranja Trina zero sin gas;2.96;3;2/5/2019;10:41;Credit card;257023;4123-3923-2550-4055
227-78-1148;B;Mandalay;Normal;Female;Pomelo;0.81;7;2/15/2019;12:44;Cash;257024;--
645-44-1170;A;Yangon;Member;Male;Magdalenas Hacendado;0.62;9;1/19/2019;20:07;Ewallet;257025;'0000003100077672914594
237-01-6122;C;Naypyitaw;Member;Female;Pomelo;0.81;9;2/1/2019;20:31;Credit card;257020;4377-5874-4715-9657
225-98-1496;C;Naypyitaw;Normal;Female;Refresco Coca-Cola Zero Zero;2.8;3;3/2/2019;13:01;Credit card;257021;4347-2210-4432-7721
291-32-1427;B;Mandalay;Member;Male;Cava brut Anna CodornÃ­u;9.35;5;3/5/2019;12:29;Ewallet;257022;'0000003100093324325988
659-65-8956;B;Mandalay;Member;Male;Petit Nesquik NestlÃ©;1.29;1;1/16/2019;15:26;Ewallet;257023;'0000003100080152151290
642-32-2990;A;Yangon;Normal;Female;Limpiador de calzado negro Bosque Verde;0.95;10;2/2/2019;20:48;Ewallet;257024;'0000003100043485434809
378-24-2715;B;Mandalay;Normal;Male;Agua de colonia S3 Classic fresh;2.95;2;1/20/2019;20:38;Ewallet;257025;'0000003100050902476749
638-60-7125;A;Yangon;Normal;Female;Burger de vacuno y cerdo;3.35;8;2/14/2019;17:03;Credit card;257020;4773-3256-1137-2490
659-36-1684;C;Naypyitaw;Member;Male;Aceitunas negras Hacendado con hueso;0.75;7;1/12/2019;12:02;Credit card;257021;5370-2182-8608-4344
219-22-9386;B;Mandalay;Member;Male;Cucharas bebÃ© +6 meses para purÃ©s y papillas Deliplus;2;9;3/9/2019;17:26;Credit card;257022;5450-5901-8533-9091
336-78-2147;C;Naypyitaw;Member;Male;Toallitas dermo higiene corporal Deliplus tamaÃ±o gigantes;3.95;8;3/13/2019;19:52;Credit card;257023;5866-7061-3357-1002
268-27-6179;B;Mandalay;Member;Female;PaÃ±ales bebÃ© talla 2 de 4-8 kg Dodot;12.97;8;3/9/2019;14:57;Ewallet;257024;'0000003100058998150664
668-90-8900;A;Yangon;Normal;Female;Helado de fresa Hacendado;1.65;7;3/10/2019;18:44;Credit card;257025;4133-4810-8645-3949
870-54-3162;A;Yangon;Normal;Female;Vino tinto D.O Navarra Embrujada roble;2;5;1/27/2019;13:26;Cash;257020;--
189-08-9157;C;Naypyitaw;Normal;Female;Hummus de garbanzos Hacendado receta clÃ¡sica;2.29;9;1/8/2019;16:17;Credit card;257021;5116-3272-6055-1227
663-86-9076;C;Naypyitaw;Member;Female;Preparado paella de marisco Hacendado ultracongelado;3.9;8;1/8/2019;15:57;Ewallet;257022;'0000003100050288950653
549-84-7482;B;Mandalay;Normal;Female;JudÃ­a verde plana Hacendado ultracongelada;1.05;9;2/8/2019;11:15;Ewallet;257023;'0000003100080406776506
191-10-6171;B;Mandalay;Normal;Female;Salmorejo al estilo cordobÃ©s Hacendado;1.6;7;1/25/2019;13:18;Cash;257024;--
802-70-5316;A;Yangon;Member;Female;Chuletas de cerdo sajonia;2.31;6;3/6/2019;20:34;Cash;257025;--
695-51-0018;B;Mandalay;Normal;Female;Cebolla caramelizada Hacendado;1.4;4;2/10/2019;18:36;Cash;257020;--
590-83-4591;B;Mandalay;Member;Male;Salmorejo al estilo cordobÃ©s Hacendado;1.6;6;2/17/2019;14:40;Credit card;257021;5286-2844-4048-9575
483-71-1164;C;Naypyitaw;Normal;Female;Medio melÃ³n Galia;1.66;6;3/8/2019;16:43;Ewallet;257022;'0000003100091190085043
597-78-7908;C;Naypyitaw;Normal;Male;ChampÃº Argan Oil Deliplus cabello seco y daÃ±ado;1.95;3;2/18/2019;19:39;Cash;257023;--
700-81-1757;A;Yangon;Normal;Female;Polvo compacto seda Deliplus 01;6;5;1/18/2019;20:59;Credit card;257024;4394-5251-5975-6005
354-39-5160;A;Yangon;Member;Female;TriÃ¡ngulos de maÃ­z con legumbres Hacendado;1;6;2/18/2019;15:39;Cash;257025;--
241-72-9525;B;Mandalay;Normal;Male;Caramelos regaliz mentol Respiral Halls;1.2;10;2/16/2019;12:21;Cash;257020;--
575-30-8091;A;Yangon;Normal;Male;Fideos orientales Yakisoba classic Gallina Blanca;1.59;8;3/16/2019;19:25;Ewallet;257021;'0000003100070902376607
731-81-9469;C;Naypyitaw;Member;Female;Bebida lÃ¡ctea de fresa y plÃ¡tano Actimel Kids;2.99;10;1/23/2019;13:00;Credit card;257022;5327-9135-6819-9503
280-17-4359;C;Naypyitaw;Member;Male;Galletas PrÃ­ncipe con crema de chocolate;3;10;1/25/2019;13:48;Cash;257023;--
338-65-2210;C;Naypyitaw;Member;Female;Salsa de soja dulce Hacendado;1.35;10;2/5/2019;19:57;Cash;257024;--
488-25-4221;C;Naypyitaw;Member;Female;CaÃ±as flexibles;1.22;1;2/22/2019;10:36;Credit card;257025;4405-9672-9785-3066
239-10-7476;A;Yangon;Normal;Female;Mantequilla sin lactosa Hacendado;1.8;6;1/21/2019;16:37;Ewallet;257020;'0000003100052099427786
458-41-1477;C;Naypyitaw;Normal;Female;Aceitunas manzanilla Hacendado sin hueso;1.3;6;3/8/2019;17:11;Credit card;257021;4106-2531-2120-8996
685-64-1609;A;Yangon;Member;Female;Papel higiÃ©nico hÃºmedo WC Bosque Verde;0.65;10;2/10/2019;12:28;Ewallet;257022;'0000003100014291148075
568-90-5112;C;Naypyitaw;Normal;Male;Barritas para periquitos de fruta y miel Natura;1.5;4;3/19/2019;12:46;Credit card;257023;4594-2140-9860-9157
262-47-2794;B;Mandalay;Member;Male;Limpiador de calzado negro Bosque Verde;0.95;8;3/6/2019;15:07;Credit card;257024;5482-6347-5178-2779
238-49-0436;A;Yangon;Normal;Male;Zumo de naranja reciÃ©n exprimido Hacendado;2.25;8;3/27/2019;13:48;Credit card;257025;4255-7796-1095-9821
608-96-3517;B;Mandalay;Member;Female;Preparado paella de marisco Hacendado ultracongelado;3.9;4;3/23/2019;19:20;Credit card;257020;5631-5527-6267-2658
584-86-7256;C;Naypyitaw;Member;Male;Toallitas dermo higiene corporal Deliplus tamaÃ±o gigantes;3.95;7;3/11/2019;16:07;Credit card;257021;5654-1003-4732-3158
746-94-0204;A;Yangon;Normal;Male;Enjuague bucal protecciÃ³n dientes y encÃ­as Listerine menta fresca;4.8;9;1/29/2019;11:56;Credit card;257022;4379-7552-3956-5227
214-17-6927;C;Naypyitaw;Normal;Female;Flautas de pollo y queso;1.7;6;2/7/2019;18:23;Ewallet;257023;'0000003100017997263124
400-89-4171;C;Naypyitaw;Normal;Female;Mezcla de gammarus para tortugas Dr. Wu Tetra;1.98;8;1/28/2019;13:05;Cash;257024;--
782-95-9291;A;Yangon;Member;Male;Cepillo cabello antitirones Deliplus;5.5;5;2/20/2019;15:55;Credit card;257025;4388-3437-7626-8714
279-74-2924;B;Mandalay;Member;Male;Salami extra Hacendado lonchas;1.45;1;1/4/2019;19:40;Cash;257020;--
307-85-2293;B;Mandalay;Normal;Male;SÃ©rum Be Radiant 10 en 1 Deliplus cabello apagado;4.05;5;3/7/2019;13:58;Ewallet;257021;'0000003100059186182762
743-04-1105;B;Mandalay;Member;Male;Barrita sustitutivo de comida Belladieta sabor chocolate negro;5.4;9;3/30/2019;14:43;Ewallet;257022;'0000003100060093077330
423-57-2993;B;Mandalay;Normal;Male;Rape sin piel y sin cabeza;15.42;6;3/27/2019;19:18;Ewallet;257023;'0000003100084493178671
894-41-5205;C;Naypyitaw;Normal;Female;Margarina TulipÃ¡n;1.59;8;1/19/2019;19:39;Credit card;257024;4562-9358-2598-9476
275-28-0149;A;Yangon;Normal;Male;PatÃ© perro adulto Delikut con cordero y verduras;1.55;1;2/25/2019;16:21;Cash;257025;--
101-17-6199;A;Yangon;Normal;Male;Eau de toilette mujer Anouk;7.3;7;3/13/2019;19:44;Credit card;257020;4216-6054-2680-7126
423-80-0988;C;Naypyitaw;Normal;Male;Batido de chocolate 90% leche Puleva;1.79;2;1/30/2019;19:42;Ewallet;257021;'0000003100013647107368
548-46-9322;B;Mandalay;Normal;Male;Cerveza Amstel;6.48;10;2/20/2019;15:24;Credit card;257022;5422-6125-5361-4592
505-02-0892;B;Mandalay;Member;Male;Vino rosado D.O La Mancha Fidencio;1.2;8;2/25/2019;14:12;Ewallet;257023;'0000003100051165402783
234-65-2137;C;Naypyitaw;Normal;Male;Macarrones boloÃ±esa Hacendado;2.15;10;1/16/2019;13:32;Cash;257024;--
687-47-8271;A;Yangon;Normal;Male;Refresco limÃ³n Schweppes original;0.69;10;2/8/2019;16:20;Credit card;257025;4178-5570-2380-1018
796-32-9050;A;Yangon;Normal;Male;Langostino crudo Pescanova ultracongelado;9.25;6;1/19/2019;16:31;Cash;257020;--
105-31-1824;A;Yangon;Member;Male;Langostino crudo Pescanova ultracongelado;9.25;7;2/1/2019;15:10;Credit card;257021;5355-8963-2632-1755
249-42-3782;A;Yangon;Normal;Male;CafÃ© monodosis natural Hacendado Espresso;3.05;5;1/3/2019;11:36;Ewallet;257022;'0000003100088383699367
316-55-4634;B;Mandalay;Member;Male;Acondicionador protector color vive Elvive cabello teÃ±ido;2.79;5;1/26/2019;12:45;Credit card;257023;5415-5315-4646-3550
733-33-4967;C;Naypyitaw;Normal;Male;CafÃ© soluble descafeinado NescafÃ© classic;3.87;8;3/3/2019;19:17;Cash;257024;--
608-27-6295;B;Mandalay;Member;Male;Chorizo picante extra Hacendado;2.1;6;1/19/2019;17:34;Credit card;257025;4998-1817-2253-1899
414-12-7047;B;Mandalay;Normal;Male;Patatas fritas paja Hacendado;1.25;8;1/18/2019;12:04;Ewallet;257020;'0000003100063739648041
827-26-2100;A;Yangon;Member;Male;Sazonador al horno y microondas pollo y costillas a las hierbas provenzales Hacendado;0.95;9;3/21/2019;16:21;Ewallet;257021;'0000003100067553993470
175-54-2529;A;Yangon;Member;Male;Comida perro jÃºnior Supreme Compy con pollo y arroz;7.45;8;3/3/2019;17:01;Credit card;257022;4659-7534-8425-3143
139-52-2867;C;Naypyitaw;Normal;Female;Postre lÃ¡cteo + proteÃ­nas Hacendado chocolate;1.4;7;2/13/2019;10:50;Credit card;257023;4909-9714-3614-8809
407-63-8975;A;Yangon;Normal;Male;Cubo redondo 12L Bosque Verde;2.35;6;3/23/2019;19:16;Ewallet;257024;'0000003100069733350420
342-65-4817;C;Naypyitaw;Member;Male;Recipiente de plÃ¡stico redondo 3L Bosque Verde;2.65;3;1/28/2019;16:47;Ewallet;257025;'0000003100013058835840
130-98-8941;C;Naypyitaw;Normal;Male;Maquillaje fluido Deliplus perfecciÃ³n satin 01;5.5;7;2/9/2019;10:00;Cash;257020;--
434-83-9547;C;Naypyitaw;Member;Male;Snack perro corazones Compy;1.29;8;1/23/2019;11:51;Cash;257021;--
